i,k,ra_value
0,0,242
0,1,120
0,2,17798
0,3,360
0,4,169
1,0,363
1,1,120
1,2,17798
1,3,540
1,4,281
2,0,484
2,1,120
2,2,17798
2,3,720
2,4,337
3,0,604
3,1,120
3,2,17618
3,3,1620
3,4,421
4,0,725
4,1,120
4,2,12555
4,3,1620
4,4,421
5,0,725
5,1,120
5,2,11048
5,3,1440
5,4,421
6,0,725
6,1,120
6,2,11048
6,3,1440
6,4,421
7,0,604
7,1,120
7,2,11610
7,3,1260
7,4,421
8,0,484
8,1,120
8,2,14063
8,3,720
8,4,337
9,0,363
9,1,108
9,2,19305
9,3,540
9,4,253
10,0,242
10,1,96
10,2,19305
10,3,360
10,4,169
11,0,121
11,1,48
11,2,19305
11,3,180
11,4,85
