i,j,ec_value
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,4480
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
3,0,0
3,1,0
3,2,0
3,3,50
3,4,0
3,5,0
3,6,0
3,7,160
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
4,0,41
4,1,0
4,2,0
4,3,50
4,4,20
4,5,20
4,6,0
4,7,160
4,8,0
4,9,20
4,10,0
4,11,80
4,12,50
4,13,10
5,0,41
5,1,0
5,2,0
5,3,50
5,4,20
5,5,20
5,6,0
5,7,160
5,8,33
5,9,20
5,10,5
5,11,80
5,12,50
5,13,10
6,0,41
6,1,0
6,2,0
6,3,50
6,4,20
6,5,20
6,6,0
6,7,160
6,8,33
6,9,20
6,10,5
6,11,80
6,12,50
6,13,10
7,0,41
7,1,0
7,2,40
7,3,50
7,4,20
7,5,20
7,6,0
7,7,160
7,8,33
7,9,20
7,10,5
7,11,80
7,12,50
7,13,10
8,0,41
8,1,0
8,2,40
8,3,50
8,4,20
8,5,20
8,6,0
8,7,160
8,8,33
8,9,20
8,10,5
8,11,80
8,12,50
8,13,10
9,0,41
9,1,0
9,2,40
9,3,50
9,4,20
9,5,20
9,6,0
9,7,160
9,8,33
9,9,20
9,10,5
9,11,80
9,12,50
9,13,10
10,0,41
10,1,40
10,2,40
10,3,50
10,4,20
10,5,20
10,6,0
10,7,160
10,8,33
10,9,20
10,10,5
10,11,80
10,12,50
10,13,10
11,0,41
11,1,40
11,2,40
11,3,50
11,4,20
11,5,20
11,6,0
11,7,160
11,8,33
11,9,20
11,10,5
11,11,80
11,12,50
11,13,10
12,0,41
12,1,40
12,2,40
12,3,50
12,4,20
12,5,20
12,6,0
12,7,160
12,8,33
12,9,20
12,10,5
12,11,80
12,12,50
12,13,10
13,0,41
13,1,40
13,2,40
13,3,50
13,4,20
13,5,20
13,6,74
13,7,160
13,8,33
13,9,20
13,10,5
13,11,80
13,12,50
13,13,10
14,0,41
14,1,40
14,2,40
14,3,50
14,4,20
14,5,20
14,6,74
14,7,160
14,8,33
14,9,20
14,10,5
14,11,80
14,12,50
14,13,10
15,0,41
15,1,40
15,2,40
15,3,50
15,4,20
15,5,20
15,6,74
15,7,160
15,8,33
15,9,20
15,10,5
15,11,80
15,12,50
15,13,10
16,0,41
16,1,40
16,2,40
16,3,50
16,4,20
16,5,20
16,6,74
16,7,160
16,8,33
16,9,20
16,10,5
16,11,80
16,12,50
16,13,10
17,0,41
17,1,40
17,2,40
17,3,50
17,4,20
17,5,20
17,6,74
17,7,160
17,8,33
17,9,20
17,10,5
17,11,80
17,12,50
17,13,10
18,0,41
18,1,40
18,2,40
18,3,50
18,4,20
18,5,20
18,6,74
18,7,160
18,8,33
18,9,20
18,10,5
18,11,80
18,12,50
18,13,10
19,0,41
19,1,40
19,2,40
19,3,50
19,4,20
19,5,20
19,6,74
19,7,160
19,8,33
19,9,20
19,10,5
19,11,80
19,12,50
19,13,10
20,0,41
20,1,40
20,2,40
20,3,50
20,4,20
20,5,20
20,6,74
20,7,160
20,8,33
20,9,20
20,10,5
20,11,80
20,12,50
20,13,10
21,0,41
21,1,40
21,2,40
21,3,50
21,4,20
21,5,20
21,6,74
21,7,160
21,8,33
21,9,20
21,10,5
21,11,80
21,12,50
21,13,10
22,0,41
22,1,40
22,2,40
22,3,50
22,4,20
22,5,20
22,6,74
22,7,160
22,8,33
22,9,20
22,10,5
22,11,80
22,12,50
22,13,10
23,0,41
23,1,40
23,2,40
23,3,50
23,4,20
23,5,20
23,6,74
23,7,160
23,8,33
23,9,20
23,10,5
23,11,80
23,12,50
23,13,10
