l,i,k,la_value
0,0,13,0
0,0,13,0
0,0,13,0
0,0,13,0
0,0,13,0
0,1,13,0
0,1,13,0
0,1,13,0
0,1,13,0
0,1,13,0
0,2,13,0
0,2,13,0
0,2,13,0
0,2,13,0
0,2,13,0
0,3,13,0
0,3,13,0
0,3,13,0
0,3,13,0
0,3,13,0
0,4,13,0
0,4,13,0
0,4,13,0
0,4,13,0
0,4,13,0
0,5,13,0
0,5,13,0
0,5,13,0
0,5,13,0
0,5,13,0
0,6,13,0
0,6,13,0
0,6,13,0
0,6,13,0
0,6,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,8,13,0
0,8,13,0
0,8,13,0
0,8,13,0
0,8,13,0
0,9,13,0
0,9,13,0
0,9,13,0
0,9,13,0
0,9,13,0
0,10,13,0
0,10,13,0
0,10,13,0
0,10,13,0
0,10,13,0
0,11,13,0
0,11,13,0
0,11,13,0
0,11,13,0
0,11,13,0
1,0,13,0
1,0,13,0
1,0,13,0
1,0,13,0
1,0,13,0
1,1,13,0
1,1,13,0
1,1,13,0
1,1,13,0
1,1,13,0
1,2,13,0
1,2,13,0
1,2,13,0
1,2,13,1
1,2,13,0
1,3,13,1
1,3,13,0
1,3,13,0
1,3,13,0
1,3,13,0
1,4,13,1
1,4,13,0
1,4,13,0
1,4,13,0
1,4,13,0
1,5,13,1
1,5,13,0
1,5,13,0
1,5,13,0
1,5,13,0
1,6,13,0
1,6,13,0
1,6,13,0
1,6,13,0
1,6,13,0
1,7,13,0
1,7,13,0
1,7,13,0
1,7,13,0
1,7,13,0
1,8,13,0
1,8,13,0
1,8,13,0
1,8,13,0
1,8,13,0
1,9,13,1
1,9,13,0
1,9,13,0
1,9,13,0
1,9,13,0
1,10,13,0
1,10,13,0
1,10,13,1
1,10,13,0
1,10,13,0
1,11,13,0
1,11,13,0
1,11,13,0
1,11,13,1
1,11,13,0
2,0,13,0
2,0,13,0
2,0,13,0
2,0,13,0
2,0,13,0
2,1,13,0
2,1,13,0
2,1,13,0
2,1,13,0
2,1,13,0
2,2,13,0
2,2,13,0
2,2,13,0
2,2,13,0
2,2,13,0
2,3,13,0
2,3,13,0
2,3,13,0
2,3,13,0
2,3,13,0
2,4,13,0
2,4,13,0
2,4,13,0
2,4,13,0
2,4,13,0
2,5,13,0
2,5,13,0
2,5,13,0
2,5,13,0
2,5,13,0
2,6,13,0
2,6,13,1
2,6,13,0
2,6,13,0
2,6,13,0
2,7,13,1
2,7,13,0
2,7,13,0
2,7,13,0
2,7,13,0
2,8,13,0
2,8,13,0
2,8,13,0
2,8,13,0
2,8,13,0
2,9,13,0
2,9,13,0
2,9,13,0
2,9,13,0
2,9,13,0
2,10,13,0
2,10,13,0
2,10,13,0
2,10,13,0
2,10,13,0
2,11,13,1
2,11,13,0
2,11,13,0
2,11,13,0
2,11,13,0
3,0,13,0
3,0,13,0
3,0,13,0
3,0,13,0
3,0,13,0
3,1,13,0
3,1,13,0
3,1,13,0
3,1,13,0
3,1,13,0
3,2,13,0
3,2,13,0
3,2,13,0
3,2,13,0
3,2,13,0
3,3,13,0
3,3,13,0
3,3,13,0
3,3,13,0
3,3,13,0
3,4,13,0
3,4,13,0
3,4,13,0
3,4,13,0
3,4,13,0
3,5,13,1
3,5,13,0
3,5,13,0
3,5,13,0
3,5,13,0
3,6,13,0
3,6,13,0
3,6,13,0
3,6,13,0
3,6,13,0
3,7,13,0
3,7,13,0
3,7,13,0
3,7,13,0
3,7,13,0
3,8,13,0
3,8,13,0
3,8,13,0
3,8,13,0
3,8,13,0
3,9,13,0
3,9,13,0
3,9,13,0
3,9,13,0
3,9,13,0
3,10,13,0
3,10,13,0
3,10,13,0
3,10,13,0
3,10,13,0
3,11,13,0
3,11,13,0
3,11,13,0
3,11,13,0
3,11,13,0
4,0,13,0
4,0,13,0
4,0,13,0
4,0,13,0
4,0,13,0
4,1,13,0
4,1,13,0
4,1,13,0
4,1,13,0
4,1,13,0
4,2,13,0
4,2,13,0
4,2,13,0
4,2,13,0
4,2,13,0
4,3,13,0
4,3,13,0
4,3,13,0
4,3,13,0
4,3,13,0
4,4,13,0
4,4,13,0
4,4,13,0
4,4,13,0
4,4,13,0
4,5,13,0
4,5,13,0
4,5,13,0
4,5,13,0
4,5,13,0
4,6,13,0
4,6,13,0
4,6,13,0
4,6,13,0
4,6,13,0
4,7,13,0
4,7,13,0
4,7,13,0
4,7,13,0
4,7,13,0
4,8,13,0
4,8,13,0
4,8,13,0
4,8,13,0
4,8,13,0
4,9,13,0
4,9,13,0
4,9,13,0
4,9,13,0
4,9,13,0
4,10,13,0
4,10,13,0
4,10,13,0
4,10,13,0
4,10,13,0
4,11,13,0
4,11,13,0
4,11,13,0
4,11,13,0
4,11,13,0
5,0,13,0
5,0,13,0
5,0,13,0
5,0,13,0
5,0,13,0
5,1,13,0
5,1,13,0
5,1,13,0
5,1,13,0
5,1,13,0
5,2,13,0
5,2,13,0
5,2,13,0
5,2,13,0
5,2,13,0
5,3,13,0
5,3,13,0
5,3,13,0
5,3,13,0
5,3,13,0
5,4,13,0
5,4,13,0
5,4,13,0
5,4,13,0
5,4,13,0
5,5,13,1
5,5,13,0
5,5,13,0
5,5,13,0
5,5,13,0
5,6,13,0
5,6,13,0
5,6,13,0
5,6,13,0
5,6,13,0
5,7,13,0
5,7,13,0
5,7,13,0
5,7,13,0
5,7,13,0
5,8,13,0
5,8,13,0
5,8,13,0
5,8,13,0
5,8,13,0
5,9,13,0
5,9,13,0
5,9,13,0
5,9,13,0
5,9,13,0
5,10,13,0
5,10,13,0
5,10,13,0
5,10,13,0
5,10,13,0
5,11,13,0
5,11,13,0
5,11,13,0
5,11,13,0
5,11,13,0
6,0,13,0
6,0,13,0
6,0,13,0
6,0,13,0
6,0,13,0
6,1,13,0
6,1,13,0
6,1,13,0
6,1,13,0
6,1,13,0
6,2,13,0
6,2,13,0
6,2,13,0
6,2,13,0
6,2,13,0
6,3,13,0
6,3,13,0
6,3,13,0
6,3,13,0
6,3,13,0
6,4,13,0
6,4,13,0
6,4,13,0
6,4,13,0
6,4,13,0
6,5,13,0
6,5,13,0
6,5,13,0
6,5,13,0
6,5,13,0
6,6,13,0
6,6,13,0
6,6,13,0
6,6,13,0
6,6,13,0
6,7,13,0
6,7,13,0
6,7,13,0
6,7,13,0
6,7,13,0
6,8,13,0
6,8,13,0
6,8,13,0
6,8,13,1
6,8,13,0
6,9,13,1
6,9,13,0
6,9,13,0
6,9,13,0
6,9,13,0
6,10,13,0
6,10,13,0
6,10,13,0
6,10,13,0
6,10,13,0
6,11,13,0
6,11,13,0
6,11,13,0
6,11,13,0
6,11,13,0
7,0,13,0
7,0,13,0
7,0,13,0
7,0,13,0
7,0,13,0
7,1,13,1
7,1,13,0
7,1,13,0
7,1,13,0
7,1,13,0
7,2,13,0
7,2,13,0
7,2,13,0
7,2,13,0
7,2,13,0
7,3,13,0
7,3,13,0
7,3,13,0
7,3,13,0
7,3,13,0
7,4,13,0
7,4,13,0
7,4,13,0
7,4,13,0
7,4,13,0
7,5,13,0
7,5,13,0
7,5,13,0
7,5,13,0
7,5,13,0
7,6,13,0
7,6,13,0
7,6,13,0
7,6,13,0
7,6,13,0
7,7,13,0
7,7,13,0
7,7,13,0
7,7,13,0
7,7,13,0
7,8,13,0
7,8,13,0
7,8,13,0
7,8,13,0
7,8,13,0
7,9,13,0
7,9,13,0
7,9,13,0
7,9,13,0
7,9,13,0
7,10,13,0
7,10,13,0
7,10,13,0
7,10,13,0
7,10,13,0
7,11,13,0
7,11,13,0
7,11,13,0
7,11,13,0
7,11,13,0
8,0,13,0
8,0,13,0
8,0,13,0
8,0,13,0
8,0,13,0
8,1,13,0
8,1,13,0
8,1,13,0
8,1,13,0
8,1,13,0
8,2,13,0
8,2,13,0
8,2,13,0
8,2,13,0
